Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
3120,200,490,5,-5,220,False,True
114,610,290,-5,-5,220,True,False
2133,5,525,5,5,30,True,False
3605,535,385,-5,-5,360,True,False
3338,290,560,-5,-5,230,True,False
3456,300,30,5,5,160,False,True
3959,345,225,-5,5,200,True,False
19,495,395,5,5,360,False,True
3503,535,265,5,5,630,False,True
2693,355,305,-5,-5,350,True,False
3612,500,350,-5,-5,290,True,False
2518,350,130,5,5,370,False,True
4102,370,580,5,5,290,False,True
283,235,555,5,5,180,False,True
433,595,145,-5,5,330,True,False
2527,395,175,5,5,460,False,True
3314,410,480,-5,5,340,True,False
3826,570,440,5,-5,470,False,True
4099,355,585,5,-5,260,False,True
351,575,265,5,-5,550,False,True
1246,310,430,5,-5,400,False,True
3572,700,550,-5,-5,690,True,False
207,145,175,-5,5,170,True,False
1220,180,560,5,-5,140,False,True
113,615,295,-5,-5,230,True,False
606,270,150,5,-5,360,False,True
3920,540,30,-5,5,590,True,False
3105,125,565,5,-5,70,False,True
2530,410,190,5,5,490,False,True
4086,290,580,5,5,230,False,True
3309,435,455,-5,5,390,True,False
3924,520,50,-5,5,550,True,False
526,130,550,-5,-5,80,True,False
3921,535,35,-5,5,580,True,False
1240,280,460,5,-5,340,False,True
435,585,155,-5,5,310,True,False
1220,180,560,5,-5,140,False,True
3607,525,375,-5,-5,340,True,False
791,385,385,-5,-5,210,True,False
2576,640,420,5,5,650,False,True
2811,235,285,5,5,350,False,True
2947,665,195,-5,-5,300,True,False
4133,525,585,5,-5,510,False,True
1398,510,330,-5,5,400,True,False
2158,130,510,5,-5,140,False,True
3602,550,400,-5,-5,390,True,False
415,685,55,-5,5,510,True,False
407,725,15,-5,5,590,True,False
1446,270,570,-5,5,210,True,False
1692,620,520,-5,-5,530,True,False
3609,515,365,-5,-5,320,True,False
4050,110,580,5,5,20,False,True
1717,495,395,-5,-5,280,True,False
3796,420,570,5,5,410,False,True
3343,265,535,-5,-5,180,True,False
3840,640,370,5,-5,610,False,True
2055,385,135,-5,5,140,True,False
930,310,310,5,5,330,False,True
2944,680,210,-5,-5,330,True,False
3336,300,570,-5,-5,250,True,False
411,705,35,-5,5,550,True,False
3482,430,160,5,5,420,False,True
4112,420,580,5,5,390,False,True
112,620,300,-5,-5,240,True,False
3922,530,40,-5,5,570,True,False
2535,435,215,5,5,540,False,True
93,715,395,-5,-5,430,True,False
2615,745,585,-5,-5,700,False,True
295,295,545,5,-5,240,False,True
2325,615,325,-5,5,510,True,False
285,245,565,5,5,200,False,True
2626,690,580,-5,5,650,True,False
1983,745,225,-5,-5,360,True,False
408,720,20,-5,5,580,True,False
2622,710,580,-5,5,690,True,False
3140,300,390,5,-5,420,False,True
2056,380,140,-5,5,130,True,False
2811,235,285,5,5,350,False,True
1906,450,550,5,5,390,False,True
2041,455,65,-5,5,280,True,False
3457,305,35,5,5,170,False,True
3919,545,25,-5,5,600,True,False
919,255,255,5,5,220,False,True
2624,700,580,-5,5,670,True,False
45,625,525,5,5,620,False,True
2369,395,545,-5,5,380,True,False
3330,330,560,-5,5,310,True,False
1942,630,430,5,-5,580,True,False
1220,180,560,5,-5,140,False,True
3461,325,55,5,5,210,False,True
2612,760,580,-5,5,700,False,True
2798,170,220,5,5,220,False,True
590,190,230,5,-5,200,False,True
1940,620,440,5,-5,600,True,False
4184,780,340,5,-5,510,True,False
419,665,75,-5,5,470,True,False
4081,265,585,5,-5,180,False,True
972,520,520,5,5,450,False,True
2537,445,225,5,5,560,False,True
2523,375,155,5,5,420,False,True
747,605,555,-5,5,550,True,False
2161,145,495,5,-5,170,False,True
1701,575,475,-5,-5,440,True,False
1858,210,310,5,5,270,False,True
1921,525,535,5,-5,540,False,True
1716,500,400,-5,-5,290,True,False
440,560,180,-5,5,260,True,False
1569,345,25,5,5,400,False,True
2508,300,80,5,5,270,False,True
3956,360,210,-5,5,230,True,False
255,95,415,5,5,80,False,True
1908,460,560,5,5,410,False,True
2330,590,350,-5,5,460,True,False
2940,700,230,-5,-5,370,True,False
1225,205,535,5,-5,190,False,True
3600,560,410,-5,-5,410,True,False
2167,175,465,5,-5,230,False,True
762,530,530,-5,-5,500,True,False
84,760,440,-5,-5,520,True,False
765,515,515,-5,-5,470,True,False
2812,240,290,5,5,360,False,True
2045,435,85,-5,5,240,True,False
2517,345,125,5,5,360,False,True
1921,525,535,5,-5,540,False,True
787,405,405,-5,-5,250,True,False
427,625,115,-5,5,390,True,False
742,630,530,-5,5,600,True,False
2625,695,585,-5,-5,660,True,False
3730,90,240,5,5,70,False,True
782,430,430,-5,-5,300,True,False
46,630,530,5,5,630,False,True
4193,755,295,-5,-5,420,True,False
4182,770,350,5,-5,530,True,False
1848,160,260,5,5,170,False,True
2503,275,55,5,5,220,False,True
1856,200,300,5,5,250,False,True
222,70,250,-5,5,20,True,False
3468,360,90,5,5,280,False,True
1939,615,445,5,-5,610,True,False
1606,530,210,5,5,550,False,True
3919,545,25,-5,5,600,True,False
3503,535,265,5,5,630,False,True
970,510,510,5,5,430,False,True
3308,440,450,-5,5,400,True,False
4049,105,585,5,-5,10,False,True
3484,440,170,5,5,440,False,True
2877,565,545,5,-5,540,False,True
1981,755,235,-5,-5,380,True,False
422,650,90,-5,5,440,True,False
2956,620,150,-5,-5,210,True,False
3507,555,285,5,5,670,False,True
3143,315,375,5,-5,450,False,True
4178,750,370,5,-5,570,True,False
1857,205,305,5,5,260,False,True
702,750,330,5,5,610,False,True
37,585,485,5,5,540,False,True
3495,495,225,5,5,550,False,True
2946,670,200,-5,-5,310,True,False
4105,385,585,5,-5,320,False,True
3068,60,410,-5,5,70,True,False
1456,220,540,-5,-5,110,True,False
2951,645,175,-5,-5,260,True,False
699,735,315,5,5,580,False,True
1944,640,420,5,-5,560,True,False
81,775,455,-5,-5,550,True,False
1405,475,365,-5,5,330,True,False
2168,180,460,5,-5,240,False,True
1225,205,535,5,-5,190,False,True
