Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
1704,220,460,5,-5,260,False,True
311,425,465,-5,-5,270,True,False
599,565,185,-5,-5,300,True,False
47,165,535,-5,5,90,False,False
2265,135,25,-5,5,40,False,False
996,160,520,-5,-5,40,True,False
1400,280,340,5,5,300,False,True
2805,595,275,-5,5,270,True,False
824,560,220,5,-5,480,False,False
24,280,420,-5,5,260,True,False
525,645,555,5,-5,590,False,True
1533,635,155,-5,-5,190,True,False
2534,370,210,-5,5,70,False,False
2290,10,150,-5,5,40,False,False
1100,360,0,5,5,550,False,True
2669,305,405,5,-5,180,False,False
1185,785,425,5,5,480,False,True
2299,35,195,5,5,40,False,False
2290,10,150,-5,5,40,False,False
2054,390,130,5,5,280,False,False
1123,475,115,5,5,590,False,False
1765,525,155,5,-5,280,False,False
1296,240,180,-5,-5,100,False,True
3177,315,245,-5,-5,100,True,False
2016,200,60,5,-5,280,False,False
521,625,575,5,-5,550,False,True
1960,80,340,-5,-5,280,False,False
1218,630,570,-5,-5,570,True,False
3126,570,500,-5,-5,610,True,False
1381,185,245,5,5,150,False,False
2204,440,280,-5,-5,180,False,False
2644,180,530,5,-5,180,False,False
1127,495,135,5,5,590,False,False
1194,750,470,-5,5,570,False,True
1785,625,55,5,-5,280,False,False
2013,185,75,5,-5,280,False,False
1862,570,330,-5,5,280,False,False
2646,190,520,5,-5,180,False,False
107,135,325,5,-5,110,False,True
728,80,460,5,5,140,False,False
2981,285,5,5,-5,350,False,False
3049,625,335,5,5,490,False,True
2315,115,275,5,5,190,False,True
1608,260,220,-5,5,0,False,False
763,255,525,5,-5,220,False,True
2989,325,35,5,5,350,False,False
587,625,245,-5,-5,420,True,False
994,170,530,-5,-5,60,True,False
2626,90,580,5,5,50,False,True
2361,345,505,5,5,300,False,True
958,350,450,-5,5,210,False,False
531,675,525,5,-5,650,False,True
906,610,190,-5,5,400,True,False
923,525,275,-5,5,230,True,False
2216,380,220,-5,-5,140,True,False
72,40,500,-5,-5,0,False,True
3140,500,430,-5,-5,470,True,False
1696,180,500,5,-5,180,False,True
2039,315,55,5,5,280,False,False
1558,510,30,-5,-5,0,False,False
3133,535,465,-5,-5,540,True,False
2168,620,460,-5,-5,500,True,False
1551,545,65,-5,-5,10,True,False
1559,505,25,-5,-5,0,False,False
759,235,545,5,-5,180,False,True
2465,715,135,-5,-5,480,True,False
2972,240,50,5,-5,350,False,False
2854,350,520,-5,5,230,False,False
2791,665,205,-5,5,410,True,False
2657,245,465,5,-5,180,False,False
1324,100,40,-5,-5,380,False,True
2921,15,305,-5,-5,40,False,True
2377,425,575,5,-5,400,False,True
35,225,475,-5,5,150,True,False
1680,100,580,5,-5,20,False,True
859,735,45,5,-5,480,False,False
344,260,300,-5,-5,90,False,False
2392,500,500,5,-5,550,False,True
138,290,170,5,-5,420,False,True
2302,50,210,5,5,60,False,True
1365,105,165,5,5,280,True,False
2767,785,85,-5,5,320,False,True
2739,655,55,5,-5,180,False,False
787,375,405,5,-5,460,False,True
444,240,200,5,5,350,False,True
3094,730,560,-5,5,530,False,True
3170,350,280,-5,-5,170,True,False
453,285,245,5,5,440,False,True
1522,690,210,-5,-5,300,True,False
2100,620,360,5,5,700,False,False
1045,85,275,5,-5,0,False,True
315,405,445,-5,-5,230,True,False
1059,155,205,5,-5,140,False,True
1594,330,150,-5,5,0,False,False
1249,475,415,-5,-5,260,True,False
2704,480,230,5,-5,180,False,False
243,765,355,-5,5,500,False,False
688,120,260,-5,5,140,False,False
238,790,330,-5,5,490,False,True
1256,440,380,-5,-5,190,True,False
911,585,215,-5,5,350,True,False
1049,105,255,5,-5,40,False,True
2180,560,400,-5,-5,380,True,False
1061,165,195,5,-5,160,False,True
312,420,460,-5,-5,260,True,False
2958,170,120,5,-5,350,False,False
3162,390,320,-5,-5,250,True,False
2059,415,155,5,5,300,False,True
1393,245,305,5,5,230,False,True
1627,165,315,-5,5,0,False,False
2075,495,235,5,5,460,False,True
1407,315,375,5,5,370,False,True
1310,170,110,-5,-5,240,False,True
2200,460,300,-5,-5,180,False,False
2724,580,130,5,-5,180,False,False
2786,690,180,-5,5,420,False,False
777,325,455,5,-5,360,False,True
2300,40,200,5,5,40,False,True
1457,565,535,5,-5,600,False,True
520,620,580,5,-5,540,False,True
1390,230,290,5,5,200,False,True
1914,310,570,-5,-5,280,False,False
565,735,355,-5,-5,640,True,False
2941,85,205,5,-5,240,False,True
1847,645,255,-5,5,280,False,False
2773,755,115,-5,5,380,False,True
235,775,315,5,5,460,False,True
3147,465,395,-5,-5,400,True,False
1187,785,435,-5,5,500,False,True
2322,150,310,5,5,260,False,True
799,435,345,5,-5,480,False,False
2173,595,435,-5,-5,450,True,False
1865,555,345,-5,5,280,False,False
294,510,550,-5,-5,440,True,False
526,650,550,5,-5,600,False,True
17,315,385,-5,5,330,True,False
2789,675,195,-5,5,420,False,False
526,650,550,5,-5,600,False,True
1356,60,120,5,5,370,True,False
151,355,105,5,-5,550,False,True
1992,80,180,5,-5,280,False,False
3144,480,410,-5,-5,430,True,False
2378,430,570,5,-5,410,False,True
78,10,470,-5,-5,60,False,True
437,205,165,5,5,280,False,True
3128,560,490,-5,-5,590,True,False
134,270,190,5,-5,380,False,True
1406,310,370,5,5,360,False,True
2364,360,520,5,5,330,False,True
865,765,15,5,-5,480,False,False
2302,50,210,5,5,60,False,True
1453,545,555,5,-5,560,False,True
2942,90,200,5,-5,250,False,True
1833,715,185,-5,5,280,False,False
1812,760,80,5,5,280,False,False
2180,560,400,-5,-5,380,True,False
1263,405,345,-5,-5,120,True,False
786,370,410,5,-5,450,False,True
1124,480,120,5,5,590,False,False
1513,735,255,-5,-5,390,True,False
2413,605,395,5,-5,610,False,False
1509,755,275,-5,-5,430,True,False
1039,55,305,5,-5,0,False,False
2273,95,65,-5,5,40,False,False
2502,530,50,-5,5,350,True,False
526,650,550,5,-5,600,False,True
297,495,535,-5,-5,410,True,False
1413,345,405,5,5,430,False,True
997,155,515,-5,-5,30,True,False
942,430,370,-5,5,210,False,False
1091,315,45,5,-5,460,False,True
201,605,145,5,5,560,True,False
1550,550,70,-5,-5,20,True,False
3176,320,250,-5,-5,110,True,False
1485,705,395,5,-5,670,True,False
2174,590,430,-5,-5,440,True,False
1232,560,500,-5,-5,430,True,False
744,160,540,5,5,140,False,False
1568,460,20,-5,5,0,False,False
295,505,545,-5,-5,430,True,False
202,610,150,5,5,550,True,False
771,295,485,5,-5,300,False,True
1254,450,390,-5,-5,210,True,False
2201,455,295,-5,-5,180,False,False
2767,785,85,-5,5,320,False,True
3186,270,200,-5,-5,60,False,False
399,15,25,5,-5,90,False,False
2338,230,390,5,5,280,False,False
589,615,235,-5,-5,400,True,False
1135,535,175,5,5,560,True,False
2372,400,560,5,5,350,False,True
2483,625,45,-5,-5,360,False,False
1237,535,475,-5,-5,380,True,False
2095,595,335,5,5,660,False,True
281,575,545,-5,5,500,False,False
963,325,475,-5,5,210,False,False
1219,625,565,-5,-5,560,True,False
1269,375,315,-5,-5,60,True,False
1710,250,430,5,-5,280,False,False
2719,555,155,5,-5,180,False,False
2202,450,290,-5,-5,180,False,False
3213,135,65,-5,-5,60,False,False
1558,510,30,-5,-5,0,False,False
3082,790,500,-5,5,530,False,False
56,120,580,-5,-5,70,True,False
1330,70,10,-5,-5,440,False,True
209,645,185,5,5,480,True,False
604,540,160,-5,-5,250,True,False
2071,475,215,5,5,420,False,True
687,125,255,-5,5,140,False,False
1102,370,10,5,5,570,False,True
2375,415,575,5,5,380,False,True
1041,65,295,5,-5,0,False,False
3179,305,235,-5,-5,80,True,False
755,215,565,5,-5,140,False,True
606,530,150,-5,-5,230,True,False
2352,300,460,5,5,280,False,False
1249,475,415,-5,-5,260,True,False
2512,480,100,-5,5,250,True,False
530,670,530,5,-5,640,False,True
3034,550,260,5,5,350,False,False
2052,380,120,5,5,280,False,False
3228,60,10,-5,5,60,False,False
2877,235,525,-5,-5,170,True,False
2715,535,175,5,-5,180,False,False
1732,360,320,5,-5,280,False,False
757,225,555,5,-5,160,False,True
1392,240,300,5,5,220,False,True
3044,600,310,5,5,440,False,True
1253,455,395,-5,-5,220,True,False
1321,115,55,-5,-5,350,False,True
576,680,300,-5,-5,530,True,False
848,680,100,5,-5,480,False,False
570,710,330,-5,-5,590,True,False
1315,145,85,-5,-5,290,False,True
2379,435,565,5,-5,420,False,True
1306,190,130,-5,-5,200,False,True
472,380,340,5,5,520,False,False
310,430,470,-5,-5,280,True,False
3163,385,315,-5,-5,240,True,False
573,695,315,-5,-5,560,True,False
2772,760,110,-5,5,370,False,True
1102,370,10,5,5,570,False,True
709,15,365,-5,5,140,False,False
420,120,80,5,5,110,False,True
1016,60,420,-5,-5,0,False,False
861,745,35,5,-5,480,False,False
1280,320,260,-5,-5,0,True,False
812,500,280,5,-5,480,False,False
247,745,375,-5,5,500,False,False
1067,195,165,5,-5,220,False,True
571,705,325,-5,-5,580,True,False
1543,585,105,-5,-5,90,True,False
1316,140,80,-5,-5,300,False,True
1553,535,55,-5,-5,0,True,False
969,295,505,-5,5,210,False,False
1390,230,290,5,5,200,False,True
610,510,130,-5,-5,190,True,False
